Assembly	scaffolds	target.polished
# misassemblies	20	20
  # contig misassemblies	20	20
    # c. relocations	20	20
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	12	12
Misassembled contigs length	1847310	1847179
# local misassemblies	6	6
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	6	4
# unaligned mis. contigs	0	0
# mismatches	2664	2656
# indels	448	451
    # indels (<= 5 bp)	293	293
    # indels (> 5 bp)	155	158
Indels length	9666	10081
